Zone17,HH
1674,837
1675,765
1676,607
1677,981
1678,895
1679,549
1680,1304
1681,1310
1682,776
1683,528
1684,194
1685,428
1686,277
1687,1202
1688,1364
1689,1962
1690,2608
1691,180
1692,169
1693,599
1694,1653
1695,2987
1696,3538
1697,2272
1698,1936
1699,461
1700,1924
1701,1237
1702,295
1703,261
1704,771
1705,1622
1706,1444
1707,327
1708,437
1709,348
1710,431
1711,784
1712,417
1713,470
1714,584
1715,535
1716,660
1717,760
1718,340
1719,430
1720,3
1721,1223
1722,26
1723,672
1724,1050
1725,180
1726,2166
1727,6170
1728,2841
1729,3679
1730,4981
1731,2332
1732,1180
1733,0
1734,0
1735,44
1736,3769
1737,4554
1738,1089
1739,3551
1740,7585
1741,625
1742,2872
1743,3787
1744,43
1745,391
1746,1128
1747,1713
1748,2183
1749,2670
1750,0
1751,2101
1752,1999
1753,837
1754,4221
1755,2181
1756,896
1757,68
1758,1104
1759,634
1760,1097
1761,825
1762,3714
1763,653
1764,491
1765,416
1766,726
1767,452
1768,491
1769,1081
1770,926
1771,317
1772,429
1773,402
1774,1487
1775,663
1776,2946
1777,1442
1778,574
1779,169
1780,486
1781,1428
1782,1005
1783,1254
1784,205
1785,1048
1786,0
1787,562
